,job_title,company,experience,skills
62,Insurance Consultant (Ireland),N/A,3,"Python, R, SAS"
63,Detection & Enforcement Rules Analyst,N/A,0,"Python, R, SQL, Excel, Tableau, Machine Learning, Statistics, Data Visualization"
64,Detection & Enforcement Rules Analyst,N/A,0,"Python, R, SQL, Excel, Tableau, Machine Learning, Statistics, Data Visualization"
65,Senior Infrastructure Specialist,N/A,7,"R, AWS, Azure"
66,Chief Information Security Officer (CISO) & Practice Lead,N/A,5,R
67,Data Analytics Manager,N/A,6,"Python, R, SQL, Power BI, Tableau, Data Visualization, Pandas, NumPy, Looker"
68,CRM Development Analyst,N/A,3,"R, Power BI"
69,Statistical Programmer,N/A,0,"R, Machine Learning, Statistics, SAS, SPSS"
70,Financial Analyst II - Project Finance,N/A,2,"R, Excel, PowerPoint"
71,Delivery Analyst,N/A,4,"R, Power BI, AWS, Azure"
72,Staff IT Operations Reporting Specialist,N/A,2,"Python, R, SQL, Power BI, Tableau"
73,Financial Analyst II - Business Partnering,N/A,0,R
74,Insider Threat Intelligence Analyst,N/A,130,R
75,Application Analyst II-Resolute Professional Billing & Claims,N/A,8,R
76,Application Analyst I - Epic Beaker,N/A,6,R
77,Laboratory Operations Analyst (QC Analyst),N/A,0,"R, Excel"
78,Operations Analyst - Trade,N/A,0,R
79,Operations Analyst,N/A,0,R
80,Sustainability Data Harmonisation Expert,N/A,0,R
81,Administrative Support & Data Entry - Executive Officer - 0.5 FTE,N/A,400,R
82,Risk & Pricing Analyst,N/A,0,"R, SQL, Excel, Power BI, Statistics"
83,Vacancy | Academy & Pathway Performance Analyst,N/A,0,R
84,Solvency II Reporting Actuary / Actuarial Analyst,N/A,0,"R, SQL, Excel, Power BI, Tableau"
85,Customer Operations Business Analyst,N/A,0,R
86,GSOC Intelligence & Operations Analyst - LinkedIn,N/A,23,R
87,Global Alternatives Solutions Business Analyst II,N/A,3,"R, Data Visualization"
88,Quantitative ETF Pricing Analyst,N/A,2,"Python, R, SQL, Statistics"
89,Strategic Operations Analyst,N/A,0,"R, SQL, Excel"
90,Delivery Analyst,N/A,4,"R, SQL, Power BI, AWS, Azure"
91,Product Analyst,N/A,5,R
92,GenAI Product Analyst,N/A,0,"R, Excel"
93,EMEA Finance Claims Analyst,N/A,0,"R, Excel, Power BI"
94,Principal Sales Operations Analyst,N/A,7,"R, Power BI, AWS, Azure, Google Cloud"
95,Sales Operations Analyst,N/A,2,"R, Excel, Power BI, Azure"
96,Contracts Analyst,N/A,0,"R, SQL, Power BI, Machine Learning"
97,Insider Threat Intelligence Analyst,N/A,130,R
98,AP Process Analyst,N/A,3,R
99,Process Analyst,N/A,0,"R, Excel"
100,Vendor Audit Analyst,N/A,0,"R, Excel"
101,CREDit Graduate Program Analyst - Structured Finance- Dublin,N/A,0,"Python, R, Excel, Machine Learning, Statistics, PowerPoint"
102,Associate Sales Support & Administration Analyst - IRE F,N/A,0,"R, SQL"
103,Weekend Shift- Forensic and Incident Response Operations (FIRE) Analyst,N/A,0,"Python, R"
104,Snr Data Team Lead,N/A,5,R
105,Senior Clinical Data Team Lead (Senior DTL) - FSP,N/A,7,"R, Excel, PowerPoint"
