ID,company,job_title,job_location,company_type
36,Tasman Global Healthcare Ireland Limited dba Nordic Global,Data Analyst - Clarity,"Dublin, County Dublin",Healthcare
37,Musgrave Limited - Group,Media Insight Analyst,"Dublin, County Dublin",Retail
38,UniJobs,Data Analyst,"Tullamore, County Offaly",Recruitment
39,Strive Recruitment,Data Analyst,"Galway, Republic of Ireland",Recruitment
40,Aviva (EG),Pricing Machine Learning Engineer,"Dublin, County Dublin",Insurance
41,Royal College of Surgeons (RCSI),Clinical Bioinformatician,"Beaumont, County Dublin",University
42,AXA Group,Market Pricing Analyst,"Dublin, County Dublin",Insurance
43,State Street International (Ireland) Ltd,Information Protection Reporting and Analytics Analyst,"Kilkenny, County Kilkenny",Financial Services
44,UniJobs,CRM Development Analyst,"Dublin, County Dublin",Recruitment
45,Reperio Human Capital Ltd,Junior Data Analyst,"Galway, Republic of Ireland",Recruitment
46,Total Talent,"Freight Invoice & Data Analyst (SAP, Excel, Power BI)","Dublin, County Dublin",Recruitment
47,@Recruit IT Limited,Data Analyst - Azure,"Dublin, County Dublin",Recruitment
48,UniJobs,Data Analyst - Limerick,"Limerick, County Limerick",Recruitment
49,Reperio Human Capital Ltd,BI Analyst,"Galway, Republic of Ireland",Recruitment
50,Cpl Resources,Senior Administration Assistant | Dublin City Centre based | Hybrid model | €40k,"Dublin, County Dublin",Recruitment
51,Deloitte Ireland LLP,Data Analytics - Senior Consultant,"Dublin, County Dublin",Consulting
52,Reperio Human Capital Ltd,Senior Data Analyst,"Limerick, County Limerick",Recruitment
53,Musgrave Limited - Group,Senior Data Analyst,"Dublin, County Dublin",Retail
54,Cardinal Health Group,Senior Data Analyst - Supply Chain Planning,Republic of Ireland,Healthcare
55,Reperio Human Capital Ltd,Senior Data Analyst,"Galway, Republic of Ireland",Recruitment
56,UNUM Ireland.,Senior Data Analyst,"Carlow, County Carlow",Insurance
57,Musgrave Limited - Group,Senior Commercial Data Analyst,"Dublin, County Dublin",Retail
58,Reperio Human Capital Ltd,Senior Data Analyst,"Cork, County Cork",Recruitment
59,Reperio Human Capital Ltd,Senior Machine Learning Engineer,"Dublin, County Dublin",Recruitment
60,Mars Capital,Data Analyst,"County Dublin, Dublin",Bank
61,Mars Capital,Data Analyst FTC - 6 Months,"County Dublin, Dublin",Bank
62,Microsoft,AI Business Process Digital Solution Area Specialist,"County Dublin, Dublin",Technology
63,Munster Rugby,Vacancy | Academy & Pathway Performance Analyst,"Castletroy, Limerick",Sports
64,IQVIA,Senior Biostatistician – Oncology (FSP -Permanent Homebased),"County Dublin, Dublin",Healthcare
65,Sumitomo Banking Corp,Senior Data Analyst,"Tralee, County Kerry",Bank
66,Paypal,Senior Data Analyst,"County Dublin, Dublin",Technology
67,IQVIA,Snr Data Team Lead,"County Dublin, Dublin",Healthcare
68,IQVIA,Senior Clinical Data Team Lead (Senior DTL) - FSP,"County Dublin, Dublin",Healthcare
69,IQVIA,Senior Statistical Programmer (Remote - Permanent Homebased),"County Dublin, Dublin",Healthcare
70,Nory,Machine Learning Engineer,"County Dublin, Dublin",Technology
71,Red Hat,RHTAS Senior Software Engineer - Model Signing and Attestations - (Ireland),"Cork, County Cork",Technology
72,Red Hat,RHTAS Senior Software Engineer - Model Signing and Attestations - (Ireland),"Waterford, County Waterford",Technology
73,Red Hat,RHTAS Senior Software Engineer - Model Signing and Attestations - (Ireland),"County Dublin, Dublin",Technology
74,Etsy.com,Senior Machine Learning Engineer II,"County Dublin, Dublin",Technology
75,Red Hat,RHOAI Senior Software Engineer - Model Training/OpenShift AI,"Waterford, County Waterford",Technology
